datetime,Open,High,Low,Close,Volume,ATR,EMA_20,EMA_50
2024-04-07 23:00:00,2307.6499,2314.31006,2306.19995,2311.31006,0,,2311.31006,2311.31006
2024-04-08 00:00:00,2312.02002,2312.11011,2306.1499,2306.31006,0,,2310.8338695238094,2311.1139815686274
2024-04-08 01:00:00,2305.92993,2325.21997,2303.02002,2324.32007,0,,2312.118269569161,2311.6318673894657
2024-04-08 02:00:00,2324.48999,2353.81006,2322.03003,2348.02002,0,,2315.5374838959074,2313.0588537663493
2024-04-08 03:00:00,2348.21997,2349.97998,2341.07007,2345.57007,0,,2318.397730191535,2314.333803422571
2024-04-08 04:00:00,2345.44995,2345.44995,2340.06006,2342.23999,0,,2320.6684216018652,2315.4281636805094
2024-04-08 05:00:00,2342.23999,2343.69995,2331.97998,2334.72998,0,,2322.007617639783,2316.185097653823
2024-04-08 06:00:00,2334.73999,2341.3501,2331.8999,2336.27002,0,,2323.3659416740893,2316.9727416673986
2024-04-08 07:00:00,2336.59009,2339.01001,2333.87988,2337.90991,0,,2324.751081514652,2317.7938070922064
2024-04-08 08:00:00,2337.68994,2341.52002,2333.47998,2336.42993,0,,2325.863352798971,2318.5246354415317
2024-04-08 09:00:00,2336.3501,2337.94995,2334.43994,2337.52002,0,,2326.9735115800213,2319.26955248304
2024-04-08 10:00:00,2337.55005,2343.63989,2335.21997,2340.17993,0,,2328.2312657152575,2320.089567287627
2024-04-08 11:00:00,2340.18994,2342.52002,2336.71997,2337.38989,0,,2329.1035156471376,2320.768011315563
2024-04-08 12:00:00,2337.06006,2338.09009,2323.18994,2329.1001,0,10.674334999999994,2329.10319034741,2321.094759891423
2024-04-08 13:00:00,2329.1001,2335.61011,2326.02002,2327.48999,0,10.780047857142888,2328.949552219085,2321.3455532290145
2024-04-08 14:00:00,2327.40991,2329.34009,2318.8999,2329.07007,0,11.100046428571464,2328.9610301029816,2321.6484754553276
2024-04-08 15:00:00,2328.93994,2331.6499,2325.78003,2327.97998,0,9.933612142857166,2328.8675967598406,2321.896769751197
2024-04-08 16:00:00,2327.94995,2330.27002,2326.13989,2328.56006,0,7.958619285714316,2328.8383075446177,2322.1580752511504
2024-04-08 17:00:00,2328.6499,2339.27002,2327.6499,2337.98999,0,8.152205714285758,2329.709896349892,2322.7789346530662
2024-04-08 18:00:00,2337.98999,2342.1001,2337.03003,2338.94995,0,8.120781428571458,2330.589901459426,2323.413092117652
