datetime,Open,High,Low,Close,Volume,ATR,EMA_20,EMA_50
2024-04-07 23:00:00,1.0828,1.0833,1.0828,1.0829,0,,1.0829,1.0829
2024-04-08 00:00:00,1.0829,1.0831,1.0823,1.0827,0,,1.0828809523809524,1.0828921568627452
2024-04-08 01:00:00,1.0827,1.0837,1.0827,1.0836,0,,1.0829494331065759,1.0829199154171474
2024-04-08 02:00:00,1.0837,1.0844,1.0835,1.08405,0,,1.0830542490011876,1.0829642324596123
2024-04-08 03:00:00,1.0841,1.0842,1.08315,1.0833,0,,1.0830776538582174,1.0829773998141372
2024-04-08 04:00:00,1.08335,1.08355,1.0831,1.0832,0,,1.0830893058717206,1.0829861292331906
2024-04-08 05:00:00,1.08325,1.0838,1.0832,1.0835,0,,1.0831284195982234,1.0830062810279675
2024-04-08 06:00:00,1.08345,1.0838,1.0829,1.0834,0,,1.0831542843983926,1.0830217209876551
2024-04-08 07:00:00,1.0833,1.0838,1.08285,1.0832,0,,1.0831586382652123,1.0830287123214726
2024-04-08 08:00:00,1.08325,1.0835,1.0822,1.08235,0,,1.083081625097097,1.083002096152003
2024-04-08 09:00:00,1.0823,1.083,1.0821,1.0829,0,,1.0830643274688019,1.0829980923813363
2024-04-08 10:00:00,1.0827,1.0835,1.0825,1.0832,0,,1.0830772486622493,1.0830060103271661
2024-04-08 11:00:00,1.0833,1.0833,1.0823,1.0824,0,,1.0830127487896541,1.082982245216297
2024-04-08 12:00:00,1.0824,1.0836,1.0821,1.0834,0,0.000917857142857129,1.0830496298573062,1.0829986277568344
2024-04-08 13:00:00,1.0835,1.0854,1.0835,1.0852,0,0.0010249999999999901,1.0832544270137532,1.083084956080096
2024-04-08 14:00:00,1.0852,1.0857,1.0844,1.0854,0,0.0010607142857142879,1.0834587672981577,1.0831757421161705
2024-04-08 15:00:00,1.0854,1.0859,1.0849,1.0852,0,0.0010607142857142879,1.0836245989840474,1.0832551247782816
2024-04-08 16:00:00,1.0852,1.0853,1.0846,1.085,0,0.0010464285714285593,1.0837555895569952,1.0833235512575647
2024-04-08 17:00:00,1.08505,1.086,1.0849,1.0857,0,0.0010499999999999954,1.0839407715039482,1.0834167453258956
2024-04-08 18:00:00,1.0858,1.0863,1.0856,1.0858,0,0.0010678571428571443,1.0841178408845245,1.0835102062935076
2024-04-08 19:00:00,1.08575,1.0859,1.0856,1.08565,0,0.001046428571428575,1.084263760800284,1.0835941197721937
2024-04-08 20:00:00,1.0857,1.086,1.0856,1.0859,0,0.0010107142857142934,1.084419593105019,1.083684546447794
2024-04-08 21:00:00,1.0859,1.0863,1.0855,1.086,0,0.0010000000000000167,1.084570108047398,1.0837753485478805
2024-04-08 22:00:00,1.086,1.08615,1.0859,1.08605,0,0.0009250000000000171,1.0847110501381219,1.0838645505656106
2024-04-08 23:00:00,1.0861,1.08635,1.08605,1.0863,0,0.000882142857142879,1.084862378696396,1.0839600583865672
2024-04-09 00:00:00,1.0862,1.08635,1.0857,1.0859,0,0.0008571428571428738,1.0849611997729298,1.0840361345282705
2024-04-09 01:00:00,1.0859,1.0862,1.0857,1.086,0,0.000821428571428592,1.0850601331278888,1.0841131488604951
2024-04-09 02:00:00,1.08595,1.0863,1.0856,1.0857,0,0.000764285714285757,1.0851210728299947,1.0841753783169463
