datetime,Open,High,Low,Close,Volume,ATR,EMA_20,EMA_50
2024-04-07 23:00:00,2307.6499,2314.31006,2306.19995,2312.94995,0,,2312.94995,2312.94995
2024-04-07 23:15:00,2313.03003,2313.33008,2309.87988,2311.61011,0,,2312.8223461904763,2312.897407254902
2024-04-07 23:30:00,2311.56006,2313.47998,2310.51001,2311.76001,0,,2312.721171315193,2312.8528034409846
2024-04-07 23:45:00,2311.76001,2313.21997,2309.77002,2311.31006,0,,2312.586779761365,2312.792303698201
2024-04-08 00:00:00,2312.02002,2312.11011,2308.3501,2308.3501,0,,2312.1832864507587,2312.618099631605
2024-04-08 00:15:00,2308.3999,2309.05005,2306.42993,2307.65991,0,,2311.7524886935435,2312.423660822523
2024-04-08 00:30:00,2307.6499,2309.69995,2306.6001,2306.93994,0,,2311.2941507227297,2312.20861294713
2024-04-08 00:45:00,2307.03003,2308.81006,2306.1499,2306.31006,0,,2310.819475415803,2311.9772971452817
2024-04-08 01:00:00,2305.92993,2308.30005,2303.02002,2306.8999,0,,2310.4461825190597,2311.7781835317414
2024-04-08 01:15:00,2306.90991,2314.1499,2306.90991,2313.76001,0,,2310.761785136292,2311.855902216771
2024-04-08 01:30:00,2313.67993,2318.61011,2313.67993,2317.69995,0,,2311.4225627423593,2312.0850805612113
2024-04-08 01:45:00,2317.73999,2325.21997,2315.72998,2324.32007,0,,2312.6508967668965,2312.564884068615
2024-04-08 02:00:00,2324.48999,2329.97998,2322.03003,2328.78003,0,,2314.187004693859,2313.2007721443556
2024-04-08 02:15:00,2328.88989,2333.19995,2326.56006,2327.56006,0,5.118600714285776,2315.4606290087295,2313.763881472028
2024-04-08 02:30:00,2327.93994,2353.81006,2327.69995,2344.97998,0,6.414307142857232,2318.2719957698027,2314.9880421986154
2024-04-08 02:45:00,2344.77002,2350.06006,2341.55005,2348.02002,0,6.775722142857213,2321.1051409345832,2316.2834138771013
2024-04-08 03:00:00,2348.21997,2348.21997,2343.81006,2347.3999,0,6.878575000000085,2323.6094037027183,2317.5036682348623
2024-04-08 03:15:00,2347.56006,2349.97998,2342.3501,2343.67993,0,7.177141428571498,2325.5208823976973,2318.5301883040834
2024-04-08 03:30:00,2343.28003,2344.43994,2341.07007,2343.56006,0,7.149274285714357,2327.238899312202,2319.511751900002
2024-04-08 03:45:00,2343.6499,2345.6001,2341.72998,2345.57007,0,7.238560000000072,2328.9847250919925,2320.533646727453
2024-04-08 04:00:00,2345.44995,2345.44995,2341.84009,2343.32007,0,7.283569285714358,2330.349996035612,2321.4272319538272
2024-04-08 04:15:00,2343.36011,2343.62988,2341.42993,2341.48999,0,7.250697142857234,2331.4109478417445,2322.2140067791674
2024-04-08 04:30:00,2341.5,2344.81006,2340.55005,2341.43994,0,7.177838571428667,2332.3660899520546,2322.9679649446903
2024-04-08 04:45:00,2341.27002,2343.82007,2340.06006,2342.23999,0,6.928553571428698,2333.3064613851925,2323.723730633134
2024-04-08 05:00:00,2342.23999,2343.69995,2339.25,2339.80005,0,6.894251428571546,2333.9248983961265,2324.354174529874
2024-04-08 05:15:00,2339.73999,2342.02002,2338.52002,2341.51001,0,6.466395000000115,2334.6472899774476,2325.0269523914476
2024-04-08 05:30:00,2341.45996,2341.45996,2332.18994,2337.19995,0,6.5642607142858,2334.8904004557858,2325.504324846685
2024-04-08 05:45:00,2337.06006,2337.67993,2331.97998,2334.72998,0,6.497122142857181,2334.8751223171394,2325.8661152448544
2024-04-08 06:00:00,2334.73999,2335.38989,2331.8999,2332.38989,0,4.871407142857184,2334.638433525031,2326.1219495489777
2024-04-08 06:15:00,2332.3999,2336.96997,2331.96997,2336.8501,0,4.6206921428571865,2334.849068427409,2326.5426613313707
2024-04-08 06:30:00,2336.92993,2341.3501,2334.8999,2335.47998,0,4.7664271428571805,2334.9091552438463,2326.893144416415
2024-04-08 06:45:00,2335.52002,2338.34009,2335.09009,2336.27002,0,4.453578571428612,2335.038761411099,2327.260865027536
2024-04-08 07:00:00,2336.59009,2338.87988,2333.87988,2337.78003,0,4.57001642857147,2335.299834610042,2327.673381300966
2024-04-08 07:15:00,2337.80005,2339.01001,2335.81006,2336.22998,0,4.522147142857193,2335.388419885276,2328.0089341911244
2024-04-08 07:30:00,2336.15991,2338.98999,2334.13989,2337.71997,0,4.602155714285767,2335.6104722771547,2328.389759124806
